"Data Source","World Development Indicators",

"Last Updated Date","2024-02-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Agriculture, forestry, and fishing, value added (annual % growth)","NV.AGR.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Agriculture, forestry, and fishing, value added (annual % growth)","NV.AGR.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","4.64592224699167","-2.38509649136499","-2.33776311111802","-2.84711666622461","8.21448671404919","6.65343736389097","-1.37482036694966","11.4598249327781","-4.50949400122286","1.37553447992289","-0.0067397772726423","5.96649872592332","-1.01298369251899","4.01308776608624","11.5786471273448","5.27028470532535","1.16652724346105","3.53816579602618","-1.02169863153213","5.25466274114667","0.619305842727641","2.69350014647675","0.711868702518629","4.84887392343232","5.45002283468288","1.32716966907327","3.59008581549067","2.34694738298329","3.85401841323001","2.60834158208225","0.0653664327577417","3.60815818427622","5.0983611657085","3.24134643287776","2.37530651724782","3.69065443429572","1.81077686611452","1.4486628991574","3.3352100648811","3.96796807310704","2.6369210424596",
"Afghanistan","AFG","Agriculture, forestry, and fishing, value added (annual % growth)","NV.AGR.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.79831032268574","-22.2363560711783","17.6981032082565","-5.10925117357502","14.7004462865811","-14.916329759471","44.5629549175587","-6.37513449490771","-7.59232352283014","18.2247894284156","0.00526744138804247","-0.100705133731893","-5.65721784655966","5.97175185809003","6.41105902186379","-4.41531137978744","17.459824809335","5.94234039802197","-9.7806339651292","",
"Africa Western and Central","AFW","Agriculture, forestry, and fishing, value added (annual % growth)","NV.AGR.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","1.98324838920693","-1.82576523480165","-1.3785844410027","15.0213513827826","7.41621918135904","-1.40285589084979","6.69016399467148","4.43363659451418","3.02266072268876","4.30355472145297","0.139704870790027","3.67074973758383","2.44439678312575","3.84428152037077","3.88766812198051","2.97682557943651","5.10606223613408","5.48080320308732","1.18206193966428","3.26102022307842","34.7106718715375","6.95425571914437","4.65507457188698","7.41543301456657","5.86445019065415","5.56016545207933","6.73086936066487","4.72003041944238","5.90875592131384","1.80211804321218","6.27894137434271","2.66269877929042","4.79589653082033","3.49591071134066","4.23689780654331","4.86554200209727","3.26879688886805","2.90276267955967","2.85825163180529","2.6595769975109","3.29394338230722",
"Angola","AGO","Agriculture, forestry, and fishing, value added (annual % growth)","NV.AGR.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.02284241452462","9.07309617146548","4.54913415548393","16.3031075463946","5.57732278208786","4.75297178937919","5.72999988906047","8.69413343801064","9.29019674355496","7.17749757516974","4.01689291101054","17.1743770590692","10.1604807492402","3.85272125961606","0.457774816327586","-2.48259940734616","-1.74725721251524","2.84370841874349","17.2048500319081","3.93982925566749",
"Albania","ALB","Agriculture, forestry, and fishing, value added (annual % growth)","NV.AGR.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-17.1122775201623","6.23379360964935","5.39532951334567","6.69542676815271","2.69306837937616","2.04775220207709","2.94358260578622","6.30794530236356","0.678565773095102","3.11850449478889","2.71632578723376","7.07148162165561","1.90487706489877","7.65002576326386","4.77292229175745","5.3926820974817","1.13502791202347","1.96183844726158","0.767592593421867","2.04752051403811","0.837116541882182","1.17693447095178","0.626890596273014","1.34903539625898","1.80056826626509","0.0558419953266451",
"Andorra","AND","Agriculture, forestry, and fishing, value added (annual % growth)","NV.AGR.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7.57281553398059","-8.71848739495799","17.95166858458","7.02439024390245","-3.281677301732","-2.63901979264844","6.00193610842209","4.20091324200914","-2.54163014899211","9.1726618705036","5.18945634266885","16.4447924823806","-6.05245460659046","-5.86972083035076","-3.19391634980988","5.4202670856245","7.60059612518629","-0.76177285318559","-2.44242847173761","-4.93562231759657","3.08502633559067","1.45985401459853",
"Arab World","ARB","Agriculture, forestry, and fishing, value added (annual % growth)","NV.AGR.TOTL.KD.ZG","","","","","","","","","","1.41826242767453","7.22412210504864","4.08248212145699","2.17707816022117","-2.63933681806252","7.52810725497291","-0.534976347757748","10.5177204799713","6.09730532211228","-2.97361924459082","-3.94491835649457","2.03160081466692","4.42947742411557","10.0243868520625","-2.06936110073305","2.73313227300783","3.62487295076939","9.0723364680801","3.41472661704547","2.31263820219726","11.6543870985132","-2.84791811255205","1.98496491605205","6.92943444136512","0.373106686443919","4.66398918306558","-1.4445704934889","9.38500413653993","2.57739221589057","7.04829902738926","0.84777455891502","-2.78888344109882","4.85909925867318","3.51604879070233","3.20344409803934","0.874400164474466","3.55443759266436","6.16219311968831","-5.20306411204055","1.45593604996026","5.80792478537602","2.6919446837085","4.8069249550021","0.107616523964765","5.05936827890795","-0.361577050717671","-0.306081453442829","0.993584316902755","2.97501603383982","3.43832110680715","4.02544806395875","0.801054211312646","0.92495982882825","0.947362687490099",
"United Arab Emirates","ARE","Agriculture, forestry, and fishing, value added (annual % growth)","NV.AGR.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2102793327831","-3.11660519983545","-1.97084508782518","-4.01358596294249","-8.64192402490353","-1.8423440389798","-10.8917132262261","-0.410620034272938","-10.8098849444412","5.35892160552717","3.82121952160533","-0.744908237145339","-0.16613158384061","0.399547979993912","4.01521459552534","4.37358712312313","4.90411568351621","9.96052730603895","-3.07703303502639","27.2285324733012","2.28934457864725",
"Argentina","ARG","Agriculture, forestry, and fishing, value added (annual % growth)","NV.AGR.TOTL.KD.ZG","","","","","","","0.917483064264474","2.54551932799015","-4.25536637331477","4.44449595985373","-9.2908948754818","1.57361609284334","1.9242215861004","10.7147354006412","2.72839649509442","-2.74721309949174","4.71964409067498","2.4449113630657","2.78440231392774","2.86384178386277","-6.00653190802691","3.49410370413099","7.4782211520549","2.02751251834673","0.358310208530128","-1.69511855933084","0.178732596380399","-2.72799233866611","7.86617331114088","-8.21771523972272","8.48051072271213","4.09314789819928","0.187998715837352","2.42567218738452","7.27758854713385","5.55249833387779","-0.890091314004636","0.608914674994622","8.29607710307347","2.37434949184249","-1.76587673522218","1.49112622436698","-2.65050666356152","6.7704180376591","0.38332477044824","18.7884794494551","-0.525550810177648","8.5375829282499","-2.18582133728721","-26.1014564806975","39.5239778173383","-2.42848319291828","-12.8751530933275","11.4766196176651","3.10425319146779","7.54196172215384","-4.71694335251273","3.44506458176149","-14.5815222472444","21.4353935711251","-7.51344913747587","1.89634328903512","-4.49057923368683",
